timestamp,epoch,step,train/acc,train/loss,val/acc,val/loss,val/acc_max,best_epoch
1685959099.689093,0,196,0.07036,4.306352566680908,0.1212,3.986402699279785,0.1212,0
1685959109.989216,1,392,0.14542,3.8484285439300536,0.1776,3.686817253112793,0.1776,1
1685959119.64209,2,588,0.19528,3.6122125379943846,0.2246,3.4762077724456786,0.2246,2
1685959129.745585,3,784,0.23688,3.418588299026489,0.2585,3.302570097351074,0.2585,3
1685959139.635154,4,980,0.27064,3.2506056690216063,0.2892,3.1842269996643067,0.2892,4
1685959149.355265,5,1176,0.3049,3.121422958145142,0.3189,3.080756531524658,0.3189,5
1685959159.070225,6,1372,0.33196,3.0026103832244875,0.3405,2.9635569290161135,0.3405,6
1685959169.040359,7,1568,0.3561,2.913418463897705,0.3412,2.9455611156463624,0.3412,7
1685959178.90131,8,1764,0.37708,2.8268955196380614,0.369,2.840928060913086,0.369,8
1685959188.579072,9,1960,0.3959,2.7576357538604737,0.3895,2.769195733642578,0.3895,9
1685959198.041645,10,2156,0.41596,2.689452635040283,0.3906,2.7736324562072756,0.3906,10
1685959207.748483,11,2352,0.43202,2.624051437225342,0.4224,2.644162424850464,0.4224,11
1685959217.607063,12,2548,0.44768,2.5697770003509524,0.4081,2.698876713180542,0.4224,11
1685959227.639851,13,2744,0.46412,2.5151478825378417,0.4397,2.590532918548584,0.4397,13
1685959237.095247,14,2940,0.4761,2.4709019257354736,0.4426,2.600041678237915,0.4426,14
1685959246.453147,15,3136,0.49074,2.426517178192139,0.432,2.6221146224975587,0.4426,14
1685959256.162537,16,3332,0.50146,2.3801798847198485,0.4436,2.57799490776062,0.4436,16
1685959265.801688,17,3528,0.51596,2.334314912261963,0.4797,2.4528261966705323,0.4797,17
1685959275.323883,18,3724,0.5244,2.2968557048797607,0.4599,2.5316221115112305,0.4797,17
1685959284.736586,19,3920,0.54008,2.256304479446411,0.4827,2.447035983276367,0.4827,19
1685959294.538598,20,4116,0.54896,2.2229944728088378,0.4958,2.4088704792022706,0.4958,20
1685959304.190294,21,4312,0.55886,2.1865039528656007,0.5068,2.3703935333251955,0.5068,21
1685959313.808455,22,4508,0.56702,2.154893232345581,0.4894,2.4419227954864504,0.5068,21
1685959323.309297,23,4704,0.57822,2.1201025663757322,0.528,2.29334188079834,0.528,23
1685959332.877373,24,4900,0.58958,2.088121289138794,0.525,2.2993709171295165,0.528,23
1685959342.430754,25,5096,0.59552,2.059473246383667,0.502,2.385413150024414,0.528,23
1685959351.804996,26,5292,0.6102,2.029014107284546,0.5291,2.272078565597534,0.5291,26
1685959361.318731,27,5488,0.61688,1.997754644317627,0.5297,2.294928421020508,0.5297,27
1685959370.869438,28,5684,0.62564,1.9726995565032959,0.4943,2.3985421813964845,0.5297,27
1685959380.89809,29,5880,0.63502,1.946100366973877,0.5285,2.288419146537781,0.5297,27
