timestamp,epoch,step,train/acc,train/loss,val/acc,val/loss,val/acc_max,best_epoch
1685952034.517007,0,196,0.15062,3.8070617224884034,0.2149,3.4305095024108887,0.2149,0
1685952043.985617,1,392,0.27784,3.1893739782714845,0.2421,3.3290814388275147,0.2421,1
1685952053.315112,2,588,0.3544,2.8971543606567383,0.3123,3.0435483779907226,0.3123,2
1685952062.841594,3,784,0.3969,2.724807110671997,0.3757,2.8301533031463624,0.3757,3
1685952072.454357,4,980,0.43588,2.5950421236419676,0.3228,3.01223929977417,0.3757,3
1685952082.166967,5,1176,0.46166,2.5032197155761717,0.4039,2.7283695938110353,0.4039,5
1685952091.254704,6,1372,0.4843,2.434696961593628,0.4187,2.661559119415283,0.4187,6
1685952100.746379,7,1568,0.50228,2.3752547176361083,0.2365,3.5224865898132323,0.4187,6
1685952110.494754,8,1764,0.5167,2.3290445991516115,0.3912,2.783387881088257,0.4187,6
1685952120.116962,9,1960,0.5271,2.295638197479248,0.4173,2.6982925109863283,0.4187,6
